iter	Passed	Remaining
866	427516	558680
867	427909	558056
868	428415	557580
869	428963	557159
870	429396	556588
871	429815	555999
872	430270	555457
873	430851	555079
874	431335	554574
875	431847	554105
876	432314	553579
877	432747	553009
878	433277	552564
879	433777	552080
880	434274	551592
881	434828	551177
882	435383	550762
883	435737	550093
884	436267	549648
885	436773	549171
886	437213	548612
887	437596	547981
888	438039	547426
889	438568	546978
890	439019	546433
891	439491	545915
892	439895	545312
893	440353	544777
894	440843	544281
895	441390	543856
896	441949	543445
897	442456	542970
898	442861	542369
899	443230	541726
900	443714	541223
901	444186	540706
902	444739	540287
903	445133	539675
904	445598	539149
905	446079	538643
906	446570	538149
907	447001	537583
908	447461	537052
909	448016	536635
910	448514	536149
911	448926	535561
912	449379	535022
913	449725	534356
914	450180	533820
915	450779	533454
916	451170	532843
917	451576	532250
918	452013	531693
919	452412	531093
920	452801	530481
921	453337	530040
922	453762	529471
923	454165	528876
924	454676	528408
925	455170	527919
926	455692	527463
927	456194	526983
928	456594	526386
929	457132	525948
930	457581	525407
931	457969	524797
932	458372	524205
933	458771	523609
934	459227	523077
935	459660	522519
936	460096	521966
937	460466	521338
938	461038	520938
939	461544	520465
940	461943	519870
941	462451	519399
942	462924	518887
943	463427	518410
944	463896	517895
945	464322	517332
946	464789	516814
947	465337	516387
948	465851	515921
949	466392	515486
950	466988	515110
951	467541	514688
952	468072	514240
953	468574	513762
954	468977	513174
955	469417	512627
956	469858	512082
957	470198	511426
958	470761	511014
959	471327	510604
960	471762	510053
961	472213	509519
962	472655	508975
963	473087	508421
964	473522	507871
965	474000	507367
966	474530	506918
967	474995	506400
968	475382	505799
969	475810	505241
970	476255	504703
971	476710	504175
972	477200	503683
973	477605	503104
974	478113	502631
975	478547	502082
976	479083	501639
977	479573	501149
978	480093	500690
979	480535	500149
980	481001	499633
981	481353	498999
982	481923	498592
983	482434	498123
984	482854	497560
985	483263	496987
986	483792	496536
987	484388	496154
988	484809	495593
989	485307	495111
990	485773	494596
991	486330	494174
992	486832	493695
993	487277	493160
994	487776	492678
995	488206	492128
996	488637	491578
997	489095	491056
998	489523	490503
999	489960	489960
1000	490388	489409
1001	490835	488876
1002	491211	488272
1003	491740	487821
1004	492203	487306
1005	492699	486822
1006	493307	486449
1007	493737	485900
1008	494094	485280
1009	494530	484737
1010	494938	484168
1011	495380	483632
1012	495808	483082
1013	496234	482531
1014	496666	481986
1015	497058	481403
1016	497524	480891
1017	498044	480431
1018	498540	479949
1019	498998	479429
1020	499545	478995
1021	500026	478499
1022	500497	477991
1023	500982	477498
1024	501538	477072
1025	501965	476524
1026	502484	476063
1027	503017	475615
1028	503426	475050
1029	503877	474525
1030	504262	473937
1031	504807	473501
1032	505271	472989
1033	505712	472454
1034	506297	472055
1035	506787	471566
1036	507226	471031
1037	507699	470527
1038	508145	469998
1039	508699	469568
1040	509189	469080
1041	509682	468594
1042	510120	468059
1043	510672	467627
1044	511161	467137
1045	511586	466590
1046	512021	466052
